Object,Star,Star type,Mass (M⊕),Radius (R⊕),Density (g/cm3),Flux (F⊕),Teq (K),Period (days),Distance (ly),Note,index,Discovery Year,Discovery Method
LHS 1678 b,,,0.35,0.7,,,,,64.8,,8752.0,2021,Transit
LHS 1678 c,,,1.4,0.98,,,,,64.8,,8755.0,2021,Transit
HIP 97166 b,,,20.0,2.74,,,,,215.0,,8782.0,2021,Transit
HD 137496 b,,,4.04,1.31,,,,,506.33,,8804.0,2021,Transit
TOI-2109 b,,,1595.5,15.1,,,,,854.25,,8968.0,2021,Transit
TOI-1842 b,,,68.02,11.66,,,,,728.5,,8970.0,2021,Transit
HATS-74 A b,,,464.03,11.57,,,,,976.01,,8975.0,2021,Transit
HATS-75 b,,,156.05,9.91,,,,,635.58,,8977.0,2021,Transit
Kepler-1708 b,,,1462.01,9.96,,,,,5433.41,,8983.0,2021,Transit
Kepler-1705 c,,,5.42,2.05,,,,,5325.18,,8984.0,2021,Transit
BD+60 1417 b,,,4767.43,14.68,,,,,146.55,,8997.0,2021,Imaging
LTT 1445 A c,,,1.37,1.07,,,,,22.39,,9018.0,2022,Transit
TOI-1064 b,,,13.5,2.59,,,,,221.92,,9025.0,2022,Transit
TOI-1064 c,,,2.5,2.65,,,,,221.92,,9027.0,2022,Transit
TOI-2184 b,,,206.59,11.4,,,,,2569.91,,9033.0,2022,Transit
TOI-4329 b,,,143.02,16.81,,,,,2337.84,,9052.0,2022,Transit
TOI-2669 b,,,193.88,19.73,,,,,1282.62,,9054.0,2022,Transit
TOI-1759 b,,,6.8,3.06,,,,,130.61,,9089.0,2022,Transit
HD 73583 b,,,10.2,2.79,,,,,102.91,,9104.0,2022,Transit
HD 73583 c,,,9.7,2.39,,,,,102.91,,9108.0,2022,Transit
TOI-1670 c,,,200.23,11.06,,,,,547.9,,9113.0,2022,Transit
TOI-1246 c,,,9.1,2.45,,,,,552.32,,9156.0,2022,Transit
TOI-1246 d,,,5.3,3.51,,,,,552.32,,9159.0,2022,Transit
TOI-1696 b,,,56.6,3.24,,,,,211.63,,9165.0,2022,Transit
TOI-2136 b,,,6.37,2.19,,,,,108.76,,9168.0,2022,Transit
HIP 94235 b,,,379.0,3.0,,,,,190.76,,9172.0,2022,Transit
TOI-1516 b,,,1004.34,15.24,,,,,805.4,,9189.0,2022,Transit
WASP-132 c,,,37.35,1.85,,,,,400.69,,9193.0,2022,Transit
Gaia-1 b,,,533.95,13.78,,,,,1185.53,,9197.0,2022,Transit
Gaia-2 b,,,259.67,14.82,,,,,682.09,,9198.0,2022,Transit
HD 28109 b,,,18.5,2.2,,,,,455.13,,9205.0,2022,Transit
HD 28109 c,,,7.94,4.23,,,,,455.13,,9207.0,2022,Transit
HD 260655 b,,,2.14,1.24,,,,,32.62,,9221.0,2022,Transit
HD 260655 c,,,3.09,1.53,,,,,32.62,,9223.0,2022,Transit
TOI-3629 b,,,82.64,8.29,,,,,424.1,,9232.0,2022,Transit
